time,temperature_C,humidity_%
2025-09-11T00:00,18.5,61
2025-09-11T01:00,17.2,70
2025-09-11T02:00,16.9,76
2025-09-11T03:00,16.3,81
2025-09-11T04:00,16.0,82
2025-09-11T05:00,16.0,75
2025-09-11T06:00,15.5,82
2025-09-11T07:00,15.6,84
2025-09-11T08:00,17.5,78
2025-09-11T09:00,19.8,63
2025-09-11T10:00,22.1,52
2025-09-11T11:00,24.1,48
2025-09-11T12:00,25.5,39
2025-09-11T13:00,26.8,35
2025-09-11T14:00,26.7,38
2025-09-11T15:00,27.0,38
2025-09-11T16:00,26.8,38
2025-09-11T17:00,26.8,36
2025-09-11T18:00,26.0,35
2025-09-11T19:00,24.2,35
2025-09-11T20:00,22.0,41
2025-09-11T21:00,20.6,45
2025-09-11T22:00,19.3,52
2025-09-11T23:00,18.6,57
2025-09-12T00:00,17.8,62
2025-09-12T01:00,17.2,63
2025-09-12T02:00,16.7,64
2025-09-12T03:00,16.1,65
2025-09-12T04:00,15.3,71
2025-09-12T05:00,14.8,76
2025-09-12T06:00,14.4,80
2025-09-12T07:00,14.2,82
2025-09-12T08:00,16.4,76
2025-09-12T09:00,18.8,69
2025-09-12T10:00,21.2,62
2025-09-12T11:00,23.0,50
2025-09-12T12:00,24.7,40
2025-09-12T13:00,26.0,36
2025-09-12T14:00,26.7,35
2025-09-12T15:00,27.3,34
2025-09-12T16:00,26.8,40
2025-09-12T17:00,25.3,44
2025-09-12T18:00,24.1,48
2025-09-12T19:00,22.0,62
2025-09-12T20:00,20.4,73
2025-09-12T21:00,19.5,79
2025-09-12T22:00,18.8,83
2025-09-12T23:00,18.1,84
2025-09-13T00:00,17.4,88
2025-09-13T01:00,16.8,91
2025-09-13T02:00,16.3,92
2025-09-13T03:00,16.1,93
2025-09-13T04:00,15.5,93
2025-09-13T05:00,15.1,93
2025-09-13T06:00,14.7,94
2025-09-13T07:00,14.3,100
2025-09-13T08:00,16.0,94
2025-09-13T09:00,19.9,83
2025-09-13T10:00,21.9,71
2025-09-13T11:00,23.9,56
2025-09-13T12:00,24.8,48
2025-09-13T13:00,25.9,47
2025-09-13T14:00,26.5,46
2025-09-13T15:00,26.8,40
2025-09-13T16:00,24.3,52
2025-09-13T17:00,23.9,54
2025-09-13T18:00,23.4,59
2025-09-13T19:00,22.3,67
2025-09-13T20:00,22.2,67
2025-09-13T21:00,22.2,65
2025-09-13T22:00,22.3,63
2025-09-13T23:00,22.1,61
