job_title,average_salary
AI Architect,212809.3469387755
AI Content Writer,40506.666666666664
AI Data Engineer,90000.0
AI Data Scientist,315136.36363636365
AI Developer,143393.29813664596
AI Engineer,223452.7416587226
AI Engineering Lead,2000000.0
AI Engineering Manager,148500.0
AI Governance Lead,155750.0
AI Governance Specialist,113841.66666666667
AI Lead,185310.37931034484
AI Machine Learning Engineer,106500.0
AI Product Lead,201638.75
AI Product Manager,193793.75
AI Product Owner,131050.0
AI Product Specialist,162150.0
AI Programmer,589113.1
AI Research Engineer,356785.71428571426
AI Research Scientist,649928.5714285715
AI Researcher,188803.4935064935
AI Scientist,198869.24509803922
AI Software Development Engineer,2100000.0
AI Software Engineer,162232.6
AI Solution Architect,189079.8
AI Solutions Lead,173325.0
AI Solutions Specialist,145177.5
AI Specialist,196714.5421686747
AI Strategist,144500.0
AI Tech Lead,169600.0
AIRS Solutions Specialist,263250.0
AWS Data Architect,258000.0
Account Executive,172114.50980392157
Actuarial Analyst,90950.0
Actuary,160503.57142857142
Admin & Data Analyst,65833.33333333333
Advanced Data Analyst,70000.0
Algorithm Developer,223375.0
Alternance,18834.0
Analyst,117630.18293650793
Analytics Analyst,96000.0
Analytics Engineer,162793.66324110673
Analytics Engineering Manager,325000.0
Analytics Lead,160171.53191489363
Analytics Manager,147836.125
Analytics Specialist,109721.51063829787
Application Developer,110553.07692307692
Applied AI ML Lead,292500.0
Applied Data Scientist,243291.66666666666
Applied Machine Learning Engineer,140000.0
Applied Machine Learning Scientist,476890.9090909091
Applied Research Scientist,42830.0
Applied Scientist,194794.71266540643
Architect,190008.75708502025
Artificial Intelligence Engineer,152004.41176470587
Associate,135934.01113967437
Automation Engineer,131787.96296296295
Autonomous Vehicle Technician,120000.0
Azure Data Engineer,100000.0
BI & Data Analyst,66000.0
BI Analyst,146501.34705882354
BI Data Analyst,645526.3157894737
BI Data Engineer,60000.0
BI Developer,103312.95544554456
BI Engineer,120469.44943820225
Backend Developer,75750.0
Backend Engineer,212195.36086956522
Backend Software Engineer,432000.0
Bear Robotics,168375.0
Big Data Architect,124999.5
Big Data Developer,123881.81818181818
Big Data Engineer,432228.5714285714
Bioinformatician,99331.27272727272
Bioinformatics Scientist,144834.1475409836
Bioinformatics Specialist,131725.0
Business Analyst,111524.22955974843
Business Data Analyst,242176.4705882353
Business Development Manager,70000.0
Business Development Representative,77540.90909090909
Business Insights Manager,650000.0
Business Intelligence,150496.86832740213
Business Intelligence Analyst,115392.7738791423
Business Intelligence Consultant,109500.0
Business Intelligence Data Analyst,95000.0
Business Intelligence Developer,109659.34579439252
Business Intelligence Engineer,134137.61333333334
Business Intelligence Lead,139817.5806451613
Business Intelligence Manager,138203.125
Business Intelligence Specialist,121349.2
Chatbot Developer,140971.66666666666
Cheminformatics Scientist,125000.0
Cientista de Dados,60000.0
